# {"t_start": 1602725079.5401027, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-48,50,26961.495981
-49,50,27015.777111
-48,50,27070.005236
-50,50,27124.298619
-49,50,27178.494111
-48,50,27232.732741
-49,50,27287.018605
-49,50,27341.208257
-50,50,27395.420027
-49,50,27449.621034
-49,50,27503.875119
-49,50,27558.106057
-48,50,27612.337451
-50,50,27666.551631
-49,50,27720.769833
-50,50,27774.998587
-47,50,27829.199684
-48,50,27883.413166
-50,50,27937.619064
-48,50,27991.791993
-50,50,28046.018614
-50,50,28100.275498
-50,50,28154.578518
-49,50,28208.821242
-50,50,28263.052976
-50,50,28317.276648
-49,50,28371.521625
-50,50,28425.76045
-50,50,28480.045632
-49,50,28534.267741
-3,50,28588.499586
-4,50,28640.314491
-25,50,28692.14945
-3,50,28743.991423
-2,50,28795.813473
-4,50,28847.623488
-4,50,28899.42108
-3,50,28951.220707
-4,50,29003.026191
-4,50,29054.812249
-48,50,29106.632582
-49,50,29160.862858
-50,50,29215.059322
-50,50,29269.283489
-46,50,29323.519523
-50,50,29377.759732
-50,50,29431.974744
-50,50,29486.188835
-50,50,29540.429223
-49,50,29594.652069
-50,50,29648.892197
-49,50,29703.122617
-48,50,29757.295982
-49,50,29811.502337
-48,50,29865.708464
-50,50,29919.975909
-49,50,29974.217241
-49,50,30028.423893
-48,50,30082.643529
-49,50,30136.904719
-50,50,30191.077014
-49,50,30245.344078
-48,50,30299.606868
-50,50,30353.852728
-46,50,30408.133328
-50,50,30462.329771
-50,50,30516.554059
-49,50,30570.771629
-49,50,30625.005702
-50,50,30679.218365
-49,50,30733.467182
-48,50,30787.71237
-49,50,30841.966929
-50,50,30896.210169
-49,50,30950.422686
-48,50,31004.654005
-50,50,31058.910935
-46,50,31113.15328
-49,50,31167.428285
-49,50,31221.683131
-48,50,31275.895244
-48,50,31330.15734
-50,50,31384.411121
-50,50,31438.612686
-50,50,31492.812476
-50,50,31547.074857
-50,50,31601.287184
-49,50,31655.532077
-50,50,31709.809972
-49,50,31763.980476
-3,50,31818.276907
-3,50,31870.080084
-2,50,31921.875197
-3,50,31973.677884
-2,50,32025.476628
-3,50,32077.277838
-3,50,32129.082664
-2,50,32180.876487
-2,50,32232.675561
-2,50,32284.479221
-50,50,32336.315167
-49,50,32390.633609
-50,50,32444.894156
-50,50,32499.142979
-49,50,32553.365922
-50,50,32607.57866
-50,50,32661.801977
-50,50,32716.07711
-50,50,32770.328954
-49,50,32824.551103
-50,50,32878.788356
-50,50,32933.04408
-48,50,32987.295042
-50,50,33041.688682
-50,50,33095.940409
-50,50,33150.14309
-49,50,33204.395075
-50,50,33258.568974
-49,50,33312.791589
-49,50,33367.026793
-50,50,33421.28334
-49,50,33475.529998
-49,50,33529.717187
-50,50,33583.990237
-49,50,33638.341532
-49,50,33692.64289
-49,50,33746.80858
-50,50,33801.245483
-49,50,33855.514333
-50,50,33909.740525
-50,50,33963.934308
-50,50,34018.162959
-50,50,34072.375119
-49,50,34126.635119
-50,50,34180.841963
-50,50,34235.136196
-50,50,34289.339651
-50,50,34343.523952
-48,50,34397.791362
-50,50,34452.039272
-49,50,34506.25302
-48,50,34560.469703
-50,50,34614.789572
-49,50,34668.996147
-50,50,34723.199972
-50,50,34777.406258
-49,50,34831.70022
-48,50,34885.930418
-49,50,34940.148988
-50,50,34994.367523
-2,50,35048.583237
-2,50,35100.379814
-3,50,35152.170822
-2,50,35203.979084
-3,50,35255.780077
-3,50,35307.581671
-3,50,35359.373579
-2,50,35411.171977
-2,50,35462.962914
-2,50,35514.754219
-50,50,35566.620268
-50,50,35620.950599
-50,50,35675.194611
-49,50,35729.403076
-49,50,35783.680752
-50,50,35837.909317
-48,50,35892.142447
-48,50,35946.369977
-50,50,36000.583238
-50,50,36054.797984
-50,50,36109.052743
-48,50,36163.282548
-49,50,36217.474248
-49,50,36271.677229
-50,50,36325.859386
-49,50,36380.055072
-50,50,36434.263328
-50,50,36488.456246
-50,50,36542.681486
-50,50,36596.922728
-50,50,36651.123386
-50,50,36705.383402
-49,50,36759.627677
-50,50,36813.877922
-49,50,36868.109324
-50,50,36922.365071
-48,50,36976.594258
-50,50,37030.830649
-49,50,37085.029119
-48,50,37139.257667
-50,50,37193.590811
-50,50,37247.82182
-49,50,37302.003597
-49,50,37356.263145
-50,50,37410.506877
-50,50,37464.822817
-50,50,37519.030995
-50,50,37573.222029
-48,50,37627.445366
-50,50,37681.65311
-50,50,37735.842065
-49,50,37790.105362
-50,50,37844.33603
-49,50,37898.54383
-50,50,37952.826461
-48,50,38007.023566
-50,50,38061.240261
-49,50,38115.460218
-49,50,38169.662411
-50,50,38223.876185
-4,50,38278.092966
-2,50,38329.898503
-2,50,38381.701829
-3,50,38433.506709
-3,50,38485.308882
-3,50,38537.122588
-2,50,38588.967063
-4,50,38640.825795
-3,50,38692.656106
-4,50,38744.456161
-48,50,38796.287751
-49,50,38850.527421
-50,50,38904.675786
-49,50,38958.902976
-50,50,39013.131261
-50,50,39067.328074
-50,50,39121.523026
-50,50,39175.737713
-49,50,39229.982884
-50,50,39284.203957
-50,50,39338.405134
-49,50,39392.672295
-50,50,39446.948285
-49,50,39501.188291
-49,50,39555.42988
-49,50,39609.664082
-49,50,39663.901254
-50,50,39718.14947
-49,50,39772.359525
-49,50,39826.595083
-50,50,39880.821682
-49,50,39935.091057
-49,50,39989.381183
-49,50,40043.652505
-50,50,40097.845345
-50,50,40152.039885
-50,50,40206.281773
-50,50,40260.511203
-50,50,40314.709956
-48,50,40368.957355
-50,50,40423.153617
-49,50,40477.398251
-50,50,40531.639963
-46,50,40585.867322
-50,50,40640.075952
-50,50,40694.309509
-50,50,40748.514106
-50,50,40802.770431
-50,50,40857.028077
-50,50,40911.257116
-47,50,40965.506374
-50,50,41019.69524
-48,50,41073.906382
-50,50,41128.099054
-50,50,41182.319609
-50,50,41236.542155
-49,50,41290.882644
-50,50,41345.112529
-50,50,41399.377546
-50,50,41453.665321
-2,50,41507.956981
-2,50,41559.761874
-3,50,41611.566265
-3,50,41663.383467
-3,50,41715.229049
-3,50,41767.076446
-3,50,41818.901815
-3,50,41870.700027
-4,50,41922.507661
-2,50,41974.301651
-50,50,42026.129587
-50,50,42080.457917
-50,50,42134.735967
-50,50,42188.961955
-50,50,42243.15957
-50,50,42297.397316
